Cliente ID,Producto,Cantidad de litros,Fecha de entrega,Importancia de cliente,Fecha de ingreso
1,B,537,2024-12-03 00:00:00,10,2024-11-29 04:11:05.192373
2,A,334,2024-12-01 00:00:00,7,2024-11-29 04:11:05.192843
3,A,163,2024-12-01 00:00:00,1,2024-11-29 04:11:05.193326
4,E,278,2024-12-01 00:00:00,8,2024-11-29 04:11:05.193702
5,G,472,2024-12-02 00:00:00,8,2024-11-29 04:11:05.194049
6,C,291,2024-12-04 00:00:00,9,2024-11-29 04:11:05.194293
7,E,362,2024-12-01 00:00:00,3,2024-11-29 04:11:05.194529
8,C,543,2024-11-30 00:00:00,4,2024-11-29 04:11:05.194793
9,E,515,2024-12-03 00:00:00,2,2024-11-29 04:11:05.195033
10,C,460,2024-12-03 00:00:00,6,2024-11-29 04:11:05.195272
11,C,497,2024-12-06 00:00:00,5,2024-11-29 04:11:05.195525
12,H,509,2024-12-01 00:00:00,1,2024-11-29 04:11:05.195781
13,H,462,2024-12-02 00:00:00,7,2024-11-29 04:11:05.195972
14,E,356,2024-11-30 00:00:00,8,2024-11-29 04:11:05.196154
15,D,440,2024-12-04 00:00:00,5,2024-11-29 04:11:05.196350
16,A,313,2024-12-06 00:00:00,1,2024-11-29 04:11:05.196563
17,E,346,2024-12-01 00:00:00,8,2024-11-29 04:11:05.196823
18,B,484,2024-12-04 00:00:00,9,2024-11-29 04:11:05.197017
19,A,314,2024-12-02 00:00:00,9,2024-11-29 04:11:05.197181
20,A,210,2024-12-06 00:00:00,7,2024-11-29 04:11:05.197364
21,H,419,2024-12-01 00:00:00,1,2024-11-29 04:11:05.197580
22,F,167,2024-12-02 00:00:00,8,2024-11-29 04:11:05.197830
23,C,251,2024-12-03 00:00:00,6,2024-11-29 04:11:05.198062
24,G,234,2024-12-05 00:00:00,9,2024-11-29 04:11:05.198277
25,E,277,2024-12-04 00:00:00,5,2024-11-29 04:11:05.198499
26,C,222,2024-12-04 00:00:00,2,2024-11-29 04:11:05.198681
27,F,259,2024-12-05 00:00:00,10,2024-11-29 04:11:05.200745
28,G,317,2024-11-30 00:00:00,7,2024-11-29 04:11:05.201082
29,C,357,2024-12-04 00:00:00,6,2024-11-29 04:11:05.201342
30,E,534,2024-12-05 00:00:00,7,2024-11-29 04:11:05.201566
31,G,169,2024-12-03 00:00:00,9,2024-11-29 04:11:05.201788
32,F,453,2024-12-01 00:00:00,7,2024-11-29 04:11:05.202023
33,C,235,2024-12-03 00:00:00,2,2024-11-29 04:11:05.202245
34,G,509,2024-12-02 00:00:00,5,2024-11-29 04:11:05.202462
35,G,437,2024-12-02 00:00:00,4,2024-11-29 04:11:05.202673
